step,tx_cost,fulfill
1,197.225159,0.0
2,458.150668,0.0
3,637.182459,0.0
4,816.04812,0.010272
5,961.178974,0.012903
6,1049.307219,0.012903
7,1127.891644,0.04347
8,1191.469671,0.064516
9,1226.5943,0.09621
10,1260.521808,0.103226
11,1292.769172,0.116129
12,1313.619171,0.129032
13,1340.720984,0.129032
14,1385.290063,0.143439
15,1407.843321,0.154839
16,1431.443513,0.167491
17,1479.158323,0.2171
18,1501.333777,0.245161
19,1526.156005,0.245161
20,1567.986275,0.289258
21,1592.149101,0.305042
22,1610.471586,0.309677
23,1632.379574,0.322581
24,1641.662934,0.322581
25,1647.608276,0.322581
26,1663.010361,0.335484
27,1672.794629,0.335484
28,1683.081058,0.335484
29,1707.491736,0.363796
30,1727.08367,0.387097
31,1743.347857,0.387097
32,1770.477218,0.410147
33,1788.420876,0.425806
34,1800.427959,0.425806
35,1819.922528,0.425806
36,1836.373517,0.425806
37,1847.692498,0.425806
38,1861.897567,0.43207
39,1878.614256,0.464516
40,1893.21952,0.503852
41,1910.889513,0.529032
42,1933.658948,0.531788
43,1945.655642,0.541935
44,1958.008116,0.541935
45,1987.357427,0.541935
46,2000.728478,0.541935
47,2015.91002,0.541935
48,2045.01826,0.562731
49,2063.894142,0.580645
50,2080.441935,0.580645
51,2100.324944,0.606452
52,2110.068891,0.606452
53,2116.777688,0.606452
54,2132.000045,0.606452
55,2141.032551,0.606452
56,2150.133065,0.619355
57,2174.398843,0.647667
58,2193.241713,0.670968
59,2210.024775,0.670968
60,2236.879373,0.683746
61,2254.127761,0.683871
62,2264.969657,0.683871
63,2285.329815,0.683871
64,2301.353418,0.683871
65,2313.24262,0.692264
66,2327.862152,0.704291
67,2342.968321,0.709677
68,2357.320135,0.71544
69,2374.609756,0.722581
70,2394.7356,0.726589
71,2409.041247,0.735484
72,2424.177884,0.735484
73,2450.686839,0.735484
74,2461.141885,0.735985
75,2474.281009,0.748387
76,2502.144783,0.748387
77,2520.046286,0.748387
78,2535.992371,0.748387
79,2555.909052,0.748387
80,2566.27635,0.748387
81,2573.53337,0.748387
82,2589.677463,0.748387
83,2599.272333,0.753899
84,2608.990479,0.76129
85,2633.040105,0.76129
86,2651.256179,0.774194
87,2667.592391,0.774194
88,2692.843849,0.787097
89,2708.06422,0.787097
90,2717.146161,0.799374
91,2735.331971,0.8
92,2745.875836,0.8
93,2752.583534,0.8
94,2763.993429,0.8
95,2775.201906,0.8
96,2786.514181,0.8
97,2801.830548,0.8
98,2819.936496,0.8
99,2833.761727,0.8
100,2848.046715,0.8
101,2872.060097,0.8
102,2881.555562,0.8
103,2894.022439,0.8
104,2919.771484,0.8
