step,tx_cost,fulfill
1,0.090013,0.0
2,1.529582,0.0
3,5.723383,0.004368
4,13.499966,0.004931
5,22.473019,0.011976
6,25.494819,0.012821
7,28.304424,0.021698
8,28.304621,0.021698
9,31.114226,0.027193
10,31.114366,0.027193
11,31.114563,0.027193
12,33.677979,0.027334
13,33.766026,0.027474
14,42.194504,0.046354
15,43.599433,0.050299
16,49.218531,0.055653
17,52.028192,0.056358
18,54.46718,0.064812
19,57.276785,0.088059
20,61.49115,0.104544
21,61.491375,0.104544
22,64.301008,0.109052
23,65.705909,0.114125
24,68.515598,0.1323
25,68.515795,0.1323
26,72.730132,0.152589
27,74.135033,0.161184
28,78.144536,0.169496
29,78.144705,0.169496
30,78.144901,0.169496
31,78.145098,0.169496
32,78.145266,0.169496
33,79.550195,0.169637
34,82.359857,0.172596
35,82.360081,0.172596
36,83.764982,0.172596
37,85.169939,0.17316
38,89.384276,0.181472
39,93.598614,0.181895
40,96.408247,0.189362
41,96.408472,0.189362
42,97.359456,0.189503
43,98.764357,0.193871
44,100.169286,0.195139
45,102.978891,0.195562
46,105.788524,0.196266
47,108.598129,0.197253
48,108.598326,0.197253
49,108.598494,0.197253
50,108.598663,0.197253
51,108.598831,0.197253
52,110.003732,0.197393
53,111.408633,0.197534
54,114.014725,0.203875
55,115.419654,0.213033
56,119.633991,0.233322
57,122.443652,0.238253
58,130.87213,0.25826
59,137.895876,0.260937
60,142.110213,0.261219
61,143.515114,0.262909
62,144.920043,0.265164
63,144.920267,0.265164
64,147.729928,0.265868
65,149.134886,0.268827
66,151.944547,0.26925
67,153.349504,0.269391
68,157.016119,0.28348
69,157.016344,0.28348
70,157.01654,0.28348
71,157.016765,0.28348
72,158.421694,0.286157
73,159.826651,0.287284
74,164.041072,0.308982
75,165.446058,0.308982
76,168.255719,0.309123
77,173.87476,0.324903
78,177.870975,0.338993
79,183.490073,0.365763
80,187.704466,0.375766
81,189.109423,0.376048
82,191.91914,0.381402
83,194.728745,0.385065
84,200.347815,0.392955
85,204.562208,0.399296
86,207.371926,0.402395
87,210.181615,0.402677
88,212.991304,0.402818
89,215.800966,0.403241
90,217.205923,0.403241
91,217.206147,0.403241
92,217.2064,0.403241
93,218.611329,0.403381
94,221.42099,0.403804
95,224.352383,0.40465
96,227.162073,0.41578
97,229.971734,0.434519
98,232.781423,0.452131
99,236.996013,0.457344
100,244.02004,0.467911
101,245.425137,0.468193
102,246.830291,0.468193
103,249.640205,0.477633
104,253.854851,0.487777
105,256.664793,0.488059
106,259.474735,0.499049
107,260.879973,0.504121
108,264.021341,0.505953
109,266.831059,0.520606
110,266.83134,0.520606
111,266.831649,0.520606
112,266.831874,0.520606
113,268.236915,0.520747
114,269.641956,0.523846
115,271.046997,0.524833
116,275.261475,0.528214
117,277.117427,0.530891
