step,tx_cost,fulfill
1,190.0,0.0
2,385.0,0.0
3,585.0,0.0
4,790.0,0.0
5,980.0,0.02
6,1165.0,0.07
7,1355.0,0.23
8,1555.0,0.245
9,1755.0,0.255
10,1955.0,0.26
11,2150.0,0.265
12,2345.0,0.28
13,2540.0,0.285
14,2745.0,0.295
15,2955.0,0.295
16,3170.0,0.295
17,3385.0,0.295
18,3590.0,0.3
19,3795.0,0.3
20,3995.0,0.3
21,4200.0,0.3
22,4395.0,0.3
23,4590.0,0.3
24,4790.0,0.3
25,4990.0,0.3
26,5205.0,0.3
27,5420.0,0.3
28,5625.0,0.3
29,5820.0,0.3
30,6010.0,0.3
31,6210.0,0.3
32,6425.0,0.3
33,6640.0,0.3
34,6845.0,0.3
35,7060.0,0.3
36,7265.0,0.3
37,7465.0,0.3
38,7670.0,0.3
39,7885.0,0.3
40,8095.0,0.3
41,8305.0,0.3
42,8510.0,0.3
43,8710.0,0.3
44,8925.0,0.3
45,9140.0,0.3
46,9350.0,0.3
47,9555.0,0.3
48,9760.0,0.3
49,9970.0,0.3
50,10190.0,0.3
51,10405.0,0.3
52,10615.0,0.3
53,10825.0,0.3
54,11025.0,0.3
55,11230.0,0.3
56,11445.0,0.3
57,11665.0,0.3
58,11880.0,0.3
59,12085.0,0.3
60,12285.0,0.3
61,12480.0,0.3
62,12695.0,0.3
63,12905.0,0.3
64,13120.0,0.3
65,13330.0,0.3
66,13535.0,0.3
67,13745.0,0.3
68,13960.0,0.3
69,14175.0,0.3
70,14395.0,0.3
71,14610.0,0.3
72,14825.0,0.3
73,15050.0,0.3
74,15270.0,0.3
75,15490.0,0.3
76,15725.0,0.3
77,15950.0,0.3
78,16170.0,0.3
79,16385.0,0.3
80,16615.0,0.3
81,16855.0,0.3
82,17085.0,0.3
83,17315.0,0.3
84,17530.0,0.3
85,17750.0,0.3
86,17985.0,0.3
87,18215.0,0.3
88,18450.0,0.3
89,18685.0,0.3
90,18920.0,0.3
