step,tx_cost,fulfill
1,288.0,0.0
2,592.0,0.0
3,895.0,0.0
4,1200.0,0.0
5,1509.0,0.0
6,1829.0,0.05
7,2142.0,0.05
8,2445.0,0.05
9,2737.0,0.075
10,3010.0,0.1
11,3299.0,0.1
12,3583.0,0.1
13,3877.0,0.15
14,4161.0,0.15
15,4434.0,0.15
16,4718.0,0.15
17,5007.0,0.15
18,5281.0,0.15
19,5564.0,0.15
20,5855.0,0.15
21,6149.0,0.15
22,6459.0,0.15
23,6772.0,0.15
24,7083.0,0.15
25,7392.0,0.15
26,7730.0,0.175
27,8061.0,0.175
28,8380.0,0.2
29,8691.0,0.2
30,8997.0,0.225
31,9304.0,0.225
32,9622.0,0.25
33,9950.0,0.25
34,10282.0,0.3
35,10602.0,0.325
36,10925.0,0.325
37,11244.0,0.375
38,11577.0,0.4
39,11909.0,0.425
40,12229.0,0.425
41,12544.0,0.425
42,12874.0,0.425
43,13212.0,0.45
44,13545.0,0.475
45,13862.0,0.5
46,14181.0,0.525
47,14502.0,0.525
48,14815.0,0.525
49,15136.0,0.55
50,15453.0,0.55
51,15753.0,0.55
52,16049.0,0.55
53,16350.0,0.55
54,16650.0,0.55
55,16950.0,0.575
56,17242.0,0.575
57,17537.0,0.575
58,17817.0,0.575
59,18102.0,0.575
60,18401.0,0.575
61,18688.0,0.6
62,19002.0,0.6
63,19324.0,0.6
64,19642.0,0.6
65,19965.0,0.6
66,20279.0,0.6
67,20595.0,0.6
68,20912.0,0.6
69,21219.0,0.6
70,21525.0,0.6
71,21819.0,0.6
72,22110.0,0.6
73,22414.0,0.625
74,22742.0,0.625
75,23064.0,0.625
76,23390.0,0.625
77,23712.0,0.625
78,24046.0,0.625
79,24389.0,0.625
80,24736.0,0.625
81,25073.0,0.625
82,25406.0,0.625
83,25731.0,0.625
84,26053.0,0.625
85,26372.0,0.625
86,26682.0,0.625
87,26996.0,0.625
88,27302.0,0.625
89,27601.0,0.65
90,27900.0,0.65
91,28181.0,0.65
92,28470.0,0.65
93,28767.0,0.65
94,29058.0,0.65
95,29361.0,0.65
96,29651.0,0.65
97,29941.0,0.65
98,30231.0,0.65
99,30523.0,0.65
100,30824.0,0.65
101,31124.0,0.65
102,31433.0,0.65
103,31741.0,0.65
104,32050.0,0.65
105,32354.0,0.65
106,32647.0,0.65
107,32956.0,0.65
108,33253.0,0.65
109,33556.0,0.65
110,33866.0,0.65
111,34165.0,0.65
112,34461.0,0.65
113,34754.0,0.65
114,35051.0,0.65
115,35350.0,0.65
116,35656.0,0.65
117,35957.0,0.65
118,36277.0,0.65
119,36602.0,0.65
120,36929.0,0.65
121,37251.0,0.65
122,37569.0,0.65
123,37899.0,0.65
124,38212.0,0.65
125,38528.0,0.65
126,38833.0,0.65
127,39132.0,0.65
128,39435.0,0.65
129,39741.0,0.65
130,40037.0,0.65
131,40327.0,0.65
132,40607.0,0.65
133,40892.0,0.65
134,41174.0,0.65
135,41461.0,0.65
136,41754.0,0.65
137,42029.0,0.65
138,42318.0,0.65
139,42613.0,0.65
140,42909.0,0.65
141,43189.0,0.65
142,43485.0,0.65
143,43796.0,0.65
144,44103.0,0.65
145,44400.0,0.65
146,44689.0,0.65
147,44968.0,0.65
148,45261.0,0.65
149,45555.0,0.65
150,45855.0,0.65
151,46156.0,0.65
152,46451.0,0.65
153,46749.0,0.65
154,47053.0,0.65
155,47363.0,0.65
156,47666.0,0.65
157,47968.0,0.65
158,48274.0,0.65
159,48586.0,0.65
160,48900.0,0.65
161,49211.0,0.675
162,49511.0,0.675
163,49814.0,0.675
164,50115.0,0.675
165,50421.0,0.675
166,50724.0,0.675
167,51014.0,0.675
168,51310.0,0.675
169,51603.0,0.675
170,51892.0,0.675
171,52192.0,0.675
172,52472.0,0.675
173,52753.0,0.675
174,53032.0,0.675
175,53299.0,0.675
176,53580.0,0.675
177,53849.0,0.675
178,54141.0,0.675
179,54440.0,0.675
180,54744.0,0.675
181,55034.0,0.675
182,55322.0,0.675
183,55614.0,0.675
184,55904.0,0.675
185,56189.0,0.675
186,56468.0,0.675
187,56744.0,0.675
188,57018.0,0.675
189,57292.0,0.675
190,57590.0,0.675
191,57893.0,0.675
192,58182.0,0.675
193,58479.0,0.675
194,58790.0,0.675
195,59105.0,0.675
196,59422.0,0.675
197,59731.0,0.675
198,60034.0,0.675
199,60347.0,0.675
200,60650.0,0.675
201,60951.0,0.675
202,61245.0,0.675
203,61540.0,0.675
204,61836.0,0.675
205,62132.0,0.675
206,62424.0,0.675
207,62709.0,0.675
208,62985.0,0.675
209,63265.0,0.675
210,63555.0,0.675
211,63846.0,0.675
212,64127.0,0.675
213,64415.0,0.675
214,64697.0,0.675
215,64974.0,0.675
216,65264.0,0.675
217,65545.0,0.675
218,65834.0,0.675
219,66131.0,0.675
220,66431.0,0.675
221,66725.0,0.675
222,67005.0,0.675
223,67267.0,0.675
224,67548.0,0.675
225,67818.0,0.675
