step,tx_cost,fulfill
1,0.0,0.0
2,1737.635,0.0
3,3240.8386,0.0
4,3830.8167,0.0
5,5283.4507,0.0
6,6797.489,0.06666666666666667
7,8435.926,0.14166666666666666
8,10098.807,0.18333333333333332
9,11475.638,0.225
10,12148.769,0.25
11,13675.942,0.25833333333333336
12,15186.191,0.275
13,16713.947,0.2916666666666667
14,18341.635,0.325
15,19665.156,0.3333333333333333
16,20521.877,0.3416666666666667
17,21928.25,0.3416666666666667
18,23251.328,0.3416666666666667
19,24532.523,0.39166666666666666
20,25981.643,0.4166666666666667
21,27226.34,0.4166666666666667
22,28041.664,0.425
23,29205.83,0.425
24,30363.74,0.43333333333333335
25,31489.758,0.4583333333333333
26,32754.943,0.49166666666666664
27,34004.324,0.5
28,34872.785,0.5166666666666667
29,35970.156,0.55
30,37208.684,0.5666666666666667
31,38407.633,0.6166666666666667
32,39679.67,0.675
33,41016.67,0.7083333333333334
34,42154.72,0.7333333333333333
35,43084.723,0.75
36,44553.727,0.7833333333333333
37,45857.535,0.7916666666666666
38,47328.348,0.8083333333333333
39,48861.63,0.825
