step,tx_cost,fulfill
1,0.0,0.0
2,767.0305,0.0
3,1344.2616,0.0
4,1621.1464,0.0
5,2195.9033,0.0
6,2908.463,0.0
7,3491.0127,0.05
8,4224.1,0.15
9,4761.2827,0.15
10,5081.9585,0.15
11,5684.0723,0.225
12,6394.149,0.225
13,7036.3306,0.275
14,7800.1035,0.3
15,8397.168,0.3
16,8826.108,0.3
17,9550.191,0.3
18,10333.735,0.325
19,11049.044,0.375
20,11830.336,0.375
21,12463.389,0.375
22,12946.631,0.4
23,13672.046,0.4
24,14469.78,0.4
25,15144.583,0.45
26,15892.47,0.45
27,16545.213,0.45
28,17118.215,0.45
29,17817.664,0.45
30,18597.148,0.45
31,19293.36,0.475
32,20039.271,0.55
33,20692.143,0.55
34,21349.523,0.6
35,21976.113,0.6
36,22702.033,0.625
37,23351.016,0.625
38,24030.408,0.625
39,24690.402,0.625
40,25340.898,0.625
41,25963.475,0.625
42,26718.613,0.625
43,27407.244,0.625
44,28144.326,0.625
45,28843.418,0.65
46,29562.916,0.65
47,30238.285,0.65
48,30944.217,0.65
49,31660.508,0.675
50,32397.617,0.675
51,33165.414,0.675
52,33918.01,0.7
53,34659.637,0.7
54,35368.535,0.7
55,36093.047,0.7
56,36873.055,0.7
57,37665.51,0.7
58,38479.52,0.7
59,39251.69,0.7
60,40024.918,0.725
61,40791.938,0.725
62,41556.676,0.75
63,42329.582,0.75
64,43150.965,0.75
65,43898.715,0.775
66,44650.754,0.775
67,45403.195,0.775
68,46156.473,0.775
69,46919.61,0.775
70,47663.887,0.775
71,48387.785,0.775
72,49119.414,0.8
73,49846.93,0.8
