step,tx_cost,fulfill
1,105.347176,0.0
2,199.8555,0.0
3,266.6633,0.0
4,328.71332,0.0
5,388.15234,0.1
6,444.74173,0.15
7,540.68823,0.3
8,621.692,0.325
9,664.0127,0.35
10,704.64014,0.35
11,743.7054,0.375
12,777.94183,0.375
13,850.44653,0.375
14,905.20703,0.375
15,935.01605,0.375
16,960.95197,0.375
17,983.9344,0.375
18,1004.69775,0.375
19,1055.2054,0.4
20,1094.2173,0.475
21,1111.7358,0.5
22,1127.2262,0.525
23,1141.442,0.525
24,1157.7943,0.525
25,1201.3676,0.525
26,1238.032,0.525
27,1256.7511,0.525
28,1277.0282,0.575
29,1300.1808,0.575
30,1326.0819,0.575
31,1384.0542,0.575
32,1434.0311,0.675
33,1461.9237,0.675
34,1488.4266,0.7
35,1513.6357,0.725
36,1535.3716,0.75
37,1596.8453,0.775
38,1646.2263,0.825
39,1659.984,0.825
