step,tx_cost,fulfill
1,101.734116,0.0
2,188.94263,0.0
3,255.57619,0.0
4,324.00885,0.0
5,389.7756,0.0
6,448.09018,0.075
7,527.6581,0.225
8,593.53656,0.275
9,634.9865,0.3
10,672.87134,0.3
11,710.3783,0.3
12,741.09326,0.3
13,786.98737,0.3
14,825.2985,0.3
15,848.5603,0.3
16,868.6878,0.325
17,882.5666,0.325
18,894.4461,0.325
19,920.7891,0.325
20,945.47015,0.325
21,963.73315,0.325
22,978.7131,0.325
23,996.4599,0.325
24,1015.3028,0.325
25,1049.3948,0.35
26,1075.8574,0.4
27,1094.2808,0.45
28,1113.4418,0.475
29,1131.645,0.475
30,1146.7401,0.475
31,1188.6029,0.475
32,1224.064,0.475
33,1240.973,0.5
34,1257.2812,0.525
35,1273.226,0.55
36,1289.5287,0.55
37,1352.4225,0.6
38,1398.0892,0.6
39,1415.6665,0.6
40,1430.5046,0.625
41,1442.3389,0.625
42,1453.5709,0.625
43,1510.2571,0.625
44,1554.4985,0.625
45,1567.1932,0.625
46,1582.1558,0.625
47,1597.4873,0.625
48,1611.9725,0.625
49,1658.7708,0.625
50,1689.7745,0.625
51,1702.0636,0.625
52,1713.723,0.625
53,1726.3556,0.625
54,1739.6272,0.65
55,1773.7928,0.675
56,1795.4269,0.675
57,1803.6903,0.675
58,1810.8888,0.675
59,1816.924,0.675
60,1823.0547,0.675
61,1858.4286,0.675
62,1882.4929,0.675
63,1893.6086,0.675
64,1905.9305,0.675
65,1916.9764,0.675
66,1927.9811,0.675
67,1971.1158,0.7
68,2005.3187,0.725
69,2023.8549,0.75
70,2043.4901,0.75
71,2066.0042,0.75
72,2091.203,0.775
73,2140.657,0.8
74,2185.4133,0.8
