step,tx_cost,fulfill
1,244.18141,0.0
2,492.86606,0.0
3,738.4599,0.0
4,986.8935,0.0
5,1226.221,0.0
6,1469.2429,0.0
7,1709.4403,0.0
8,1953.2853,0.0
9,2200.3223,0.0
10,2439.2583,0.0
11,2675.994,0.0
12,2925.986,0.0
13,3171.283,0.1
14,3418.5789,0.2
15,3668.9868,0.2
16,3912.7861,0.2
17,4152.7065,0.3
18,4396.5527,0.3
19,4647.9546,0.4
20,4896.8447,0.4
21,5148.352,0.4
22,5397.557,0.4
23,5649.9595,0.4
24,5911.0117,0.4
25,6163.828,0.4
26,6421.8457,0.4
27,6687.0454,0.4
28,6955.3877,0.4
29,7229.236,0.4
30,7512.684,0.4
31,7804.0386,0.4
32,8084.0947,0.4
33,8366.847,0.4
34,8654.799,0.5
35,8938.001,0.5
36,9215.853,0.5
37,9495.008,0.5
38,9769.162,0.6
39,10044.014,0.6
40,10318.415,0.6
41,10592.716,0.6
42,10872.017,0.6
43,11149.275,0.6
44,11421.784,0.7
45,11696.837,0.8
46,11962.392,0.8
