step,tx_cost,fulfill
1,229.19,0.0
2,459.86618,0.0
3,689.36365,0.0
4,915.8005,0.0
5,1140.7297,0.0
6,1363.0078,0.0
7,1587.7795,0.0
8,1824.5111,0.0
9,2064.1377,0.0
10,2300.6594,0.0
11,2526.9714,0.0
12,2769.1882,0.0
13,3012.866,0.075
14,3255.7424,0.075
15,3499.0022,0.1
16,3731.759,0.1
17,3945.7666,0.1
18,4155.172,0.1
19,4360.276,0.1
20,4571.13,0.125
21,4788.4336,0.15
22,5005.4873,0.15
23,5227.04,0.175
24,5453.748,0.175
25,5674.7085,0.175
26,5906.7246,0.175
27,6142.9307,0.2
28,6377.337,0.2
29,6616.944,0.2
30,6861.2993,0.225
31,7105.4136,0.225
32,7352.973,0.275
33,7606.8286,0.325
34,7858.183,0.4
35,8114.287,0.425
36,8364.79,0.45
37,8624.648,0.475
38,8882.507,0.475
39,9134.313,0.475
40,9377.569,0.525
41,9620.276,0.525
42,9867.686,0.575
43,10117.349,0.575
44,10368.164,0.575
45,10621.929,0.575
46,10869.943,0.575
47,11118.315,0.625
48,11366.395,0.625
49,11629.431,0.625
50,11892.973,0.65
51,12154.819,0.65
52,12416.425,0.65
53,12683.089,0.675
54,12932.181,0.7
55,13185.781,0.7
56,13427.338,0.725
57,13664.642,0.725
58,13900.146,0.725
59,14126.149,0.725
60,14347.401,0.725
61,14577.91,0.725
62,14811.165,0.75
63,15053.924,0.75
64,15304.181,0.75
65,15568.691,0.75
66,15820.952,0.75
67,16073.213,0.75
68,16325.225,0.75
69,16577.234,0.75
70,16836.748,0.75
71,17101.258,0.75
72,17367.068,0.75
73,17640.326,0.75
74,17911.834,0.75
75,18185.59,0.75
76,18459.352,0.75
77,18735.865,0.775
78,19011.373,0.775
79,19287.383,0.8
80,19546.39,0.8
