step,tx_cost,fulfill
0,0.4009,0.0
1,4.4434,0.0
2,7.066,0.0
3,9.4205,0.0
4,77.0217,0.0237
5,229.7787,0.0901
6,353.5634,0.1524
7,434.1273,0.2109
8,514.5959,0.2401
9,540.058,0.2451
10,540.5599,0.2451
11,576.4692,0.2527
12,682.7055,0.2829
13,748.2689,0.296
14,753.503,0.296
15,753.7574,0.296
16,814.2988,0.3031
17,934.452,0.316
18,1029.724,0.3285
19,1089.7812,0.3388
20,1140.1383,0.3394
21,1145.5528,0.3396
22,1145.8278,0.3396
23,1181.5547,0.3434
24,1312.588,0.3606
25,1392.9113,0.3862
26,1407.923,0.388
27,1407.9251,0.388
28,1407.9259,0.388
29,1407.9302,0.388
30,1507.865,0.44
31,1512.8629,0.4414
32,1512.8634,0.4414
33,1512.8644,0.4414
34,1512.8679,0.4414
35,1563.1176,0.4664
36,1709.4886,0.5586
37,1814.8376,0.5979
38,1835.2772,0.5996
39,1835.2785,0.5996
40,1835.2797,0.5996
41,1844.7937,0.6001
42,1859.7951,0.6017
43,1899.7829,0.628
44,2039.7239,0.6557
45,2039.7252,0.6557
46,2040.848,0.6557
47,2101.0927,0.6707
48,2248.7012,0.6865
49,2354.0513,0.6904
50,2379.2805,0.6907
51,2379.2817,0.6907
52,2384.2295,0.6908
53,2409.2299,0.6922
54,2419.2304,0.6928
55,2459.2188,0.694
56,2604.167,0.6951
57,2684.0828,0.6959
58,2699.0835,0.696
59,2699.0861,0.696
60,2850.0144,0.7006
61,2960.3499,0.7031
62,3040.3584,0.7036
63,3075.3586,0.7057
64,3100.3593,0.7061
65,3130.3257,0.7062
66,3140.3267,0.7062
67,3190.3122,0.7089
68,3310.6565,0.715
69,3390.5806,0.7189
70,3401.1374,0.7191
71,3401.1382,0.7191
72,3408.7474,0.7196
73,3453.751,0.722
74,3522.6113,0.7292
75,3592.6104,0.7304
76,3632.6108,0.7379
77,3640.4504,0.7383
78,3640.4512,0.7383
79,3660.4454,0.7455
80,3775.4137,0.7466
81,3855.3442,0.7533
82,3860.345,0.7533
83,3860.3453,0.7533
84,3878.1303,0.7554
85,3938.1343,0.7565
86,4015.7389,0.7616
87,4156.1673,0.7646
88,4276.9485,0.7688
89,4356.961,0.7722
