step,tx_cost,fulfill
1,0.0,0.0
2,379.75818,0.0
3,612.6219,0.0
4,916.989,0.0
5,1139.0143,0.0
6,1488.9705,0.0
7,1699.6628,0.0
8,2059.023,0.0
9,2295.2407,0.0
10,2573.3447,0.0
11,2808.0706,0.0
12,3132.4536,0.0
13,3361.0679,0.0
14,3700.8855,0.0
15,3939.6086,0.05
16,4225.4546,0.05
17,4476.963,0.05
18,4796.126,0.05
19,5040.609,0.05
20,5371.465,0.05
21,5624.551,0.05
22,5956.596,0.05
23,6238.3716,0.05
24,6569.253,0.05
25,6841.6313,0.05
26,7190.6235,0.05
27,7468.008,0.05
28,7791.4146,0.05
29,8079.873,0.05
30,8393.113,0.05
31,8666.009,0.05
32,8980.958,0.05
33,9256.745,0.05
34,9572.718,0.05
35,9857.048,0.05
36,10177.844,0.05
37,10465.253,0.05
38,10777.59,0.05
39,11061.939,0.05
40,11363.091,0.05
41,11624.612,0.075
42,11937.996,0.075
43,12228.954,0.075
44,12538.569,0.075
45,12826.432,0.1
46,13115.845,0.1
47,13392.928,0.1
48,13684.569,0.1
49,13972.219,0.1
50,14254.573,0.1
51,14533.891,0.1
52,14811.646,0.1
53,15091.895,0.1
54,15386.23,0.1
55,15684.013,0.1
56,15958.122,0.125
57,16255.302,0.125
58,16531.018,0.125
59,16836.91,0.125
60,17135.6,0.125
61,17439.195,0.125
62,17755.596,0.125
63,18084.008,0.125
64,18396.607,0.125
65,18713.645,0.125
66,19023.77,0.125
67,19352.398,0.125
68,19639.207,0.125
69,19927.596,0.125
70,20232.719,0.125
71,20527.234,0.125
72,20824.799,0.125
73,21128.084,0.125
74,21445.258,0.125
75,21747.785,0.125
76,22052.193,0.125
77,22365.434,0.125
78,22663.41,0.125
79,22980.367,0.125
80,23274.371,0.125
81,23573.055,0.125
82,23881.848,0.125
83,24176.66,0.125
84,24480.377,0.125
85,24775.885,0.125
86,25061.686,0.125
87,25341.004,0.125
88,25639.03,0.125
89,25909.46,0.125
90,26196.09,0.125
91,26465.428,0.125
92,26747.867,0.125
93,27010.402,0.125
94,27306.46,0.125
95,27579.938,0.125
96,27873.695,0.125
97,28138.195,0.125
98,28426.094,0.125
99,28700.307,0.125
100,29011.873,0.125
101,29296.947,0.125
102,29594.361,0.125
103,29894.23,0.125
104,30205.305,0.125
105,30492.236,0.125
106,30787.676,0.125
107,31082.639,0.125
108,31360.982,0.125
109,31653.752,0.125
110,31939.88,0.125
111,32219.766,0.15
112,32500.38,0.15
113,32785.902,0.15
114,33053.57,0.15
115,33351.516,0.175
116,33608.004,0.2
117,33879.242,0.2
118,34147.957,0.2
119,34443.07,0.2
120,34723.258,0.2
121,35025.13,0.2
122,35278.504,0.2
123,35596.4,0.2
124,35855.66,0.2
125,36159.42,0.2
126,36413.805,0.2
127,36708.188,0.2
128,36954.953,0.2
129,37253.746,0.2
130,37508.46,0.2
131,37788.938,0.2
132,38033.39,0.2
133,38320.67,0.2
134,38573.07,0.2
135,38886.207,0.225
136,39140.297,0.225
137,39431.723,0.225
138,39699.9,0.225
139,40004.715,0.225
140,40274.98,0.225
141,40575.727,0.225
142,40860.656,0.225
143,41159.81,0.225
144,41425.062,0.25
145,41733.715,0.25
146,42002.406,0.25
147,42279.0,0.25
148,42551.32,0.25
149,42831.816,0.25
150,43111.42,0.25
151,43396.562,0.25
152,43669.465,0.25
153,43942.395,0.25
154,44203.19,0.25
155,44491.344,0.25
156,44746.816,0.25
157,45010.96,0.25
158,45270.656,0.25
159,45547.465,0.25
160,45811.77,0.25
161,46093.332,0.25
162,46348.24,0.25
163,46597.99,0.25
164,46854.996,0.25
165,47117.516,0.25
166,47370.688,0.25
167,47633.785,0.25
168,47882.504,0.25
169,48131.348,0.25
170,48391.91,0.25
171,48661.324,0.25
172,48910.65,0.25
173,49177.902,0.25
174,49423.84,0.25
175,49685.223,0.25
176,49958.926,0.25
177,50235.492,0.25
178,50508.918,0.25
179,50801.312,0.25
180,51098.402,0.25
181,51380.402,0.25
182,51652.273,0.25
183,51933.79,0.25
184,52190.145,0.25
185,52458.223,0.25
186,52711.09,0.25
187,52973.914,0.25
188,53226.707,0.25
189,53495.484,0.25
190,53757.96,0.25
191,54037.008,0.25
192,54283.047,0.25
193,54552.78,0.25
194,54802.266,0.25
195,55067.598,0.25
196,55312.26,0.25
197,55569.64,0.25
198,55798.555,0.25
199,56070.316,0.25
200,56317.684,0.25
201,56580.887,0.25
202,56826.113,0.25
203,57066.17,0.25
204,57305.13,0.25
205,57549.95,0.25
206,57789.074,0.25
207,58035.29,0.25
208,58267.645,0.25
209,58502.676,0.25
210,58739.133,0.25
211,58989.83,0.25
212,59242.91,0.25
213,59482.63,0.25
214,59737.9,0.25
215,59998.844,0.25
216,60272.875,0.275
217,60526.785,0.275
218,60804.156,0.275
219,61071.84,0.275
220,61353.043,0.275
221,61638.27,0.275
222,61916.703,0.275
223,62186.703,0.275
224,62452.32,0.275
225,62726.113,0.275
226,62978.492,0.275
227,63248.91,0.275
228,63506.875,0.275
229,63768.242,0.275
230,64009.43,0.275
231,64279.117,0.275
232,64516.54,0.275
233,64765.63,0.275
234,65023.96,0.275
235,65276.273,0.275
236,65521.875,0.275
237,65792.055,0.275
238,66044.4,0.275
239,66292.016,0.275
240,66550.664,0.275
241,66795.945,0.275
242,67044.375,0.275
243,67291.76,0.275
244,67543.15,0.275
245,67778.32,0.275
246,68042.86,0.275
247,68273.52,0.275
248,68520.25,0.275
249,68765.7,0.275
250,69019.57,0.275
251,69270.33,0.275
252,69546.234,0.275
253,69790.51,0.275
254,70059.08,0.275
255,70324.58,0.275
256,70601.5,0.275
257,70857.945,0.275
258,71122.38,0.275
259,71388.875,0.275
260,71658.49,0.275
261,71919.695,0.275
262,72183.36,0.275
263,72445.03,0.275
264,72701.695,0.275
265,72955.7,0.275
266,73204.43,0.275
267,73469.3,0.275
268,73714.8,0.275
269,73976.12,0.275
270,74208.36,0.275
271,74459.7,0.275
272,74709.79,0.275
273,74951.46,0.275
274,75177.23,0.275
275,75435.42,0.275
276,75668.766,0.275
277,75925.33,0.275
278,76144.75,0.275
279,76388.695,0.275
280,76607.414,0.275
281,76849.26,0.275
282,77075.93,0.275
283,77309.25,0.275
