step,tx_cost,fulfill
1,23.957977,0.0
2,42.307144,0.0
3,58.539734,0.0
4,72.45531,0.0
5,84.95989,0.0
6,97.18119,0.0
7,114.40879,0.0
8,125.682,0.0
9,136.60088,0.0
10,147.11925,0.0
11,156.98195,0.0
12,166.48273,0.03125
13,179.85973,0.05625
14,184.73907,0.06875
15,188.1536,0.075
16,190.4409,0.075
17,192.37372,0.075
18,193.3525,0.075
19,194.3005,0.075
20,194.3005,0.075
21,194.3005,0.075
22,194.3005,0.075
23,194.3005,0.075
24,194.3005,0.075
25,195.69727,0.075
26,195.69727,0.075
27,195.69727,0.075
28,195.69727,0.075
29,195.69727,0.075
30,195.69727,0.075
31,198.3139,0.08125
32,198.61073,0.08125
33,199.46054,0.08125
34,200.71896,0.08125
35,202.04144,0.08125
36,203.1077,0.08125
37,205.84807,0.0875
38,206.00212,0.0875
39,206.00212,0.0875
40,206.00212,0.0875
41,206.00212,0.0875
42,206.00212,0.0875
43,208.79083,0.09375
44,208.79083,0.09375
45,208.92088,0.09375
46,209.50749,0.09375
47,210.4458,0.09375
48,211.52841,0.09375
49,214.8246,0.1
50,216.81375,0.1
51,219.14662,0.1
52,221.92322,0.1
53,225.06636,0.1
54,228.5319,0.1
55,232.56345,0.1
56,235.58092,0.1
57,237.3527,0.1
58,238.18332,0.1
59,239.0599,0.1
60,240.17378,0.1
61,241.27719,0.1
62,242.3882,0.10625
63,243.51254,0.1125
64,244.91565,0.11875
65,246.57469,0.11875
66,248.21265,0.11875
67,249.69728,0.11875
68,251.01848,0.11875
69,252.76103,0.11875
70,255.1863,0.11875
71,257.9387,0.11875
72,260.601,0.11875
73,263.4104,0.11875
74,265.9412,0.11875
75,268.90567,0.11875
76,271.93985,0.11875
77,274.58142,0.11875
78,277.59424,0.11875
79,280.7676,0.11875
80,284.07202,0.11875
81,287.01938,0.11875
82,289.8002,0.11875
83,292.83447,0.125
84,295.92987,0.13125
85,299.26825,0.13125
86,301.445,0.13125
87,303.30966,0.13125
88,305.76343,0.1375
89,308.40207,0.1375
90,310.74072,0.1375
91,314.97202,0.1375
92,316.1741,0.1375
93,316.94318,0.1375
94,317.10992,0.1375
95,317.10992,0.1375
96,317.10992,0.1375
97,319.32205,0.1375
98,319.32205,0.1375
99,319.32205,0.1375
100,319.32205,0.1375
101,319.32205,0.1375
102,319.32205,0.1375
103,320.41922,0.14375
104,320.41922,0.14375
105,320.41922,0.14375
106,320.58963,0.14375
107,321.28253,0.14375
