Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-614.2875,0.7125,1.00005125,1376.9246,38.6375
1,-614.2880754729296,0.7125,1.0001025000000001,1368.5094,38.21875
2,-608.1173878573992,0.6958333333333334,1.0001520833333335,1350.097,38.10833333333333
3,-599.2513392224116,0.671875,1.0001992708333336,1337.9794,37.7875
4,-582.8343086193723,0.6275000000000001,1.0002420208333336,1335.8005,36.910000000000004
5,-569.5781171157448,0.5916666666666667,1.0002811875000002,1335.1284,35.952083333333334
6,-560.7703214036258,0.5678571428571428,1.000317973214286,1333.0973,35.401785714285715
7,-553.5840351781872,0.5484375,1.000352816964286,1326.0632,34.8078125
8,-545.4250807262115,0.5263888888888889,1.0003854558531748,1320.8328,34.102777777777774
9,-539.8254927324936,0.51125,1.0004165808531749,1320.144,33.45
10,-534.4031856581522,0.496590909090909,1.0004462399440839,1319.633,32.86022727272728
11,-529.8838551027802,0.484375,1.0004746774440838,1317.1594,32.348958333333336
12,-524.6368719311024,0.47019230769230774,1.000501696674853,1316.0759,31.8375
13,-520.4703744269204,0.45892857142857146,1.0005275895319958,1315.5496,31.459821428571427
14,-516.8598458397371,0.4491666666666667,1.0005525061986624,1315.5463,31.049166666666668
15,-512.5440082038128,0.4375,1.0005762561986624,1315.6848,30.66796875
16,-508.4634135538859,0.4264705882352941,1.000598903257486,1314.9872,30.31323529411765
17,-505.35098116723594,0.41805555555555557,1.0006207088130417,1315.2268,29.984027777777783
18,-502.32269607758417,0.4098684210526316,1.000641695655147,1315.3718,29.63092105263158
19,-498.9030972232964,0.40062500000000006,1.000661758155147,1315.407,29.34375
20,-495.1588465227563,0.3916666666666667,1.0006809248218136,1312.3771,28.975
21,-491.34130819194456,0.3829545454545455,1.000699220276359,1311.8237,28.63465909090909
22,-489.44954461637286,0.3777173913043479,1.0007169920154895,1312.8925,28.359239130434784
23,-486.7604980473427,0.3713541666666667,1.0007341274321562,1310.8341,28.07239583333333
24,-483.00947506986165,0.36400000000000005,1.0007505274321562,1305.1659,27.756499999999996
25,-480.42280563037923,0.358173076923077,1.0007663447398485,1301.1841,27.480769230769226
26,-478.0237637650841,0.3523148148148149,1.00078157622133,1298.9999,27.233333333333327
27,-475.3144581032204,0.3468750000000001,1.00079626372133,1297.6757,26.963839285714283
28,-471.5480688141191,0.34181034482758627,1.0008104447558126,1290.831,26.702155172413793
29,-468.78403460638197,0.33708333333333335,1.000824153089146,1287.1737,26.454583333333336
30,-465.6164139968901,0.3326612903225806,1.0008374192181781,1280.9636,26.208467741935483
31,-461.5046546410026,0.3261538461538462,1.0008500346027935,1274.8182,25.865000000000002
32,-458.5507769696024,0.32022058823529415,1.000862056661617,1271.4042,25.542279411764707
33,-455.64781393865434,0.31642857142857145,1.00087369951876,1265.4141,25.337142857142858
34,-453.40691759512396,0.3128472222222223,1.0008849842409822,1261.4722,25.152430555555558
35,-451.53402198080045,0.3097972972972973,1.0008959639707118,1258.0479,24.966554054054054
36,-449.9940810382018,0.30657894736842106,1.0009066218654485,1256.7465,24.806578947368422
37,-448.8861173600791,0.3041666666666667,1.000917038532115,1255.9729,24.641025641025642
38,-447.7180045772051,0.30156250000000007,1.000927194782115,1255.5463,24.48
39,-447.0497705582281,0.29939024390243907,1.0009371338065052,1256.6693,24.31890243902439
40,-445.6557923356147,0.29672619047619053,1.000946806425553,1254.7092,24.169940476190476
41,-443.58318198453907,0.2931034482758621,1.0009561167703804,1252.1138,23.96264367816092
42,-441.44569351062154,0.2894444444444445,1.0009650612148249,1249.2571,23.774722222222227
43,-439.70935711376484,0.28750000000000003,1.0009738112148248,1244.7933,23.653804347826092
44,-438.6222863403684,0.28563829787234046,1.000982375044612,1242.5332,23.54627659574469
45,-437.39302529071455,0.2838541666666667,1.0009907604612787,1240.2815,23.432552083333334
46,-436.39798133624447,0.28214285714285714,1.000998974746993,1238.8965,23.326785714285716
47,-435.16957586446455,0.28025,1.001006999746993,1236.3472,23.22225
48,-429.9329466744735,0.26975000000000005,1.001013974746993,1229.9679,22.80525
49,-421.2770115761521,0.25025,1.0010189997469932,1223.1265,22.00025
50,-417.8668989081403,0.24225000000000002,1.0010232247469932,1221.0461,21.62625
51,-415.0253266486462,0.23725000000000002,1.0010269497469932,1215.8578,21.31275
52,-412.5488197684732,0.23275,1.0010302247469933,1211.1843,21.039
53,-410.2530461574822,0.22824999999999998,1.0010330497469933,1208.1097,20.749250000000004
54,-407.4190137445945,0.22399999999999998,1.0010354497469933,1203.4183,20.488249999999997
55,-404.12464031348173,0.21875,1.0010373247469933,1197.8057,20.18225
