step,tx_cost,fulfill
1,126.0,0.0
2,252.0,0.0
3,374.0,0.0
4,495.0,0.0
5,623.0,0.0
6,751.0,0.0
7,876.0,0.0
8,1006.0,0.0
9,1132.0,0.0
10,1261.0,0.0
11,1381.0,0.0
12,1512.0,0.0
13,1638.0,0.0
14,1759.0,0.0
15,1878.0,0.0
16,1988.0,0.0
17,2105.0,0.0
18,2246.0,0.0
19,2376.0,0.0
20,2515.0,0.0
21,2656.0,0.0
22,2808.0,0.0
23,2955.0,0.0
24,3120.0,0.0
25,3284.0,0.0
26,3449.0,0.0
27,3609.0,0.0
28,3766.0,0.025
29,3918.0,0.05
30,4070.0,0.05
31,4229.0,0.075
32,4391.0,0.125
33,4543.0,0.125
34,4686.0,0.125
35,4823.0,0.125
36,4944.0,0.15
37,5057.0,0.275
38,5178.0,0.325
39,5302.0,0.35
40,5411.0,0.375
41,5526.0,0.375
42,5652.0,0.375
43,5773.0,0.45
44,5896.0,0.525
45,6025.0,0.525
46,6167.0,0.525
47,6315.0,0.525
48,6461.0,0.575
49,6607.0,0.65
50,6767.0,0.75
51,6925.0,0.75
52,7088.0,0.75
53,7249.0,0.775
54,7406.0,0.775
55,7563.0,0.825
56,7717.0,0.85
