step,tx_cost,fulfill
1,172.0,0.0
2,346.0,0.0
3,528.0,0.0
4,710.0,0.0
5,884.0,0.0
6,1061.0,0.0
7,1235.0,0.0
8,1418.0,0.0
9,1616.0,0.05
10,1815.0,0.05
11,2012.0,0.075
12,2205.0,0.075
13,2400.0,0.1
14,2603.0,0.1
15,2806.0,0.125
16,3003.0,0.15
17,3199.0,0.15
18,3400.0,0.15
19,3614.0,0.15
20,3836.0,0.175
21,4059.0,0.175
22,4283.0,0.175
23,4494.0,0.175
24,4703.0,0.175
25,4900.0,0.175
26,5098.0,0.175
27,5311.0,0.2
28,5534.0,0.2
29,5754.0,0.225
30,5983.0,0.225
31,6219.0,0.225
32,6449.0,0.275
33,6672.0,0.35
34,6909.0,0.4
35,7128.0,0.425
36,7342.0,0.425
37,7558.0,0.475
38,7773.0,0.525
39,7988.0,0.55
40,8211.0,0.55
41,8451.0,0.55
42,8690.0,0.55
43,8919.0,0.575
44,9139.0,0.575
45,9348.0,0.575
46,9567.0,0.575
47,9775.0,0.575
48,9991.0,0.6
49,10192.0,0.65
50,10380.0,0.675
51,10569.0,0.675
52,10759.0,0.7
53,10952.0,0.725
54,11146.0,0.725
55,11356.0,0.8
56,11555.0,0.825
