step,tx_cost,fulfill
1,0.0,0.0
2,938.2455,0.0
3,1678.5107,0.0
4,2072.1313,0.0
5,2775.8215,0.0
6,3648.157,0.05
7,4437.413,0.1375
8,5361.172,0.2
9,6063.2207,0.2125
10,6424.981,0.2125
11,7237.842,0.2125
12,8084.704,0.2625
13,8945.105,0.2875
14,9933.126,0.325
15,10659.754,0.35
16,11093.147,0.3625
17,11926.053,0.4
18,12763.515,0.4125
19,13623.32,0.4375
20,14575.857,0.4875
21,15308.205,0.5125
22,15929.796,0.5375
23,16769.48,0.5625
24,17646.291,0.575
25,18463.658,0.575
26,19358.723,0.625
27,20119.84,0.6375
28,20886.857,0.65
29,21628.51,0.675
30,22409.574,0.6875
31,23207.137,0.7
32,24064.637,0.7125
33,24836.447,0.7125
34,25620.287,0.7375
35,26381.213,0.7625
36,27227.922,0.775
37,28069.793,0.7875
38,29001.953,0.7875
39,29877.809,0.7875
40,30797.34,0.7875
41,31694.088,0.8
42,32568.55,0.8
