step,tx_cost,fulfill
1,0.0,0.0
2,704.5526,0.0
3,1290.5248,0.0
4,1495.7844,0.0
5,2048.718,0.0
6,2645.5486,0.0
7,3232.152,0.0375
8,3904.2937,0.05
9,4419.5513,0.05
10,4637.593,0.05
11,5207.0317,0.05
12,5882.187,0.0875
13,6491.433,0.1625
14,7155.157,0.275
15,7696.009,0.3
16,7995.3267,0.3
17,8620.007,0.3625
18,9310.21,0.3875
19,9894.731,0.4125
20,10562.682,0.4625
21,11143.917,0.525
22,11514.409,0.525
23,12199.929,0.525
24,12883.831,0.575
25,13495.018,0.6
26,14164.535,0.6125
27,14738.014,0.625
28,15221.232,0.625
29,15834.363,0.6375
30,16472.3,0.675
31,17074.164,0.7125
32,17753.389,0.7375
33,18321.242,0.75
34,18870.582,0.75
35,19480.314,0.75
36,20129.195,0.75
37,20717.55,0.775
38,21339.898,0.775
39,21897.594,0.7875
40,22493.395,0.8
41,23073.168,0.8
