step,tx_cost,fulfill
1,89.97505,0.0
2,183.54712,0.0
3,236.74405,0.0
4,288.56143,0.075
5,336.55994,0.1
6,383.5826,0.125
7,483.31473,0.125
8,566.0023,0.15
9,604.59717,0.15
10,644.2256,0.15
11,682.3911,0.15
12,722.0798,0.175
13,799.5163,0.225
14,873.38324,0.35
15,914.66797,0.4
16,953.67816,0.4
17,993.5964,0.4
18,1033.6421,0.4
19,1110.9001,0.45
20,1172.8312,0.45
21,1209.5293,0.45
22,1239.359,0.45
23,1269.3276,0.475
24,1299.6289,0.525
25,1361.9926,0.55
26,1416.4884,0.55
27,1445.7189,0.55
28,1472.4321,0.55
29,1497.6533,0.55
30,1524.47,0.55
31,1585.5172,0.6
32,1640.9404,0.6
33,1668.7247,0.6
34,1696.7046,0.6
35,1727.7479,0.6
36,1760.9268,0.625
37,1825.5391,0.65
38,1887.324,0.725
39,1922.9633,0.75
40,1959.0321,0.75
41,1993.1611,0.75
42,2030.8108,0.75
43,2101.3503,0.75
44,2168.0889,0.775
45,2203.3394,0.775
46,2238.587,0.8
47,2278.748,0.825
