step,tx_cost,fulfill
1,240.27058,0.0
2,479.80252,0.0
3,701.7226,0.008333333333333333
4,914.6319,0.075
5,1114.6006,0.1
6,1309.7538,0.10833333333333334
7,1540.9835,0.125
8,1767.9319,0.14166666666666666
9,1985.2815,0.15
10,2211.233,0.15
11,2439.9514,0.175
12,2685.8877,0.175
13,2951.5405,0.2
14,3223.8555,0.24166666666666667
15,3486.835,0.25833333333333336
16,3763.9268,0.2916666666666667
17,4037.2517,0.3
18,4307.6523,0.325
19,4584.298,0.3416666666666667
20,4845.955,0.375
21,5098.7104,0.4
22,5355.5527,0.4
23,5607.2676,0.4166666666666667
24,5858.4077,0.43333333333333335
25,6112.9385,0.4666666666666667
26,6360.584,0.5083333333333333
27,6591.217,0.5166666666666667
28,6817.6367,0.525
29,7034.4824,0.5416666666666666
30,7250.071,0.5583333333333333
31,7477.0986,0.625
32,7702.902,0.65
33,7923.782,0.7
34,8148.6655,0.75
35,8361.835,0.775
36,8574.378,0.775
37,8797.433,0.7916666666666666
38,9029.567,0.8083333333333333
39,9268.302,0.8416666666666667
