step,tx_cost,fulfill
1,71.613754,0.0
2,176.16391,0.0
3,306.52243,0.0
4,456.63345,0.0
5,626.83844,0.0
6,816.1767,0.0
7,1028.37,0.00875
8,1257.9634,0.11125
9,1503.1459,0.14125
10,1764.1897,0.16875
11,2035.8583,0.19625
12,2315.8284,0.22
13,2623.2993,0.29125
14,2926.8606,0.3675
15,3187.882,0.4
16,3438.1196,0.43875
17,3699.4358,0.50375
18,3966.5881,0.5675
19,4233.8794,0.66375
20,4498.1187,0.7275
21,4780.004,0.7425
22,5046.0747,0.76625
23,5314.1597,0.79125
24,5580.5654,0.80625
25,5854.9546,0.8475
