step,tx_cost,fulfill
0,0.0605,0.0
1,22.5446,0.0099
2,66.6023,0.0241
3,103.6723,0.0433
4,116.6631,0.0545
5,116.6631,0.0545
6,126.6632,0.0591
7,156.2477,0.0823
8,161.2477,0.0824
9,171.2478,0.0825
10,201.4228,0.0846
11,226.4229,0.0922
12,253.2071,0.1047
13,253.2071,0.1047
14,253.2071,0.1047
15,287.2615,0.1053
16,322.2614,0.1057
17,337.5568,0.1058
18,352.8463,0.1099
19,362.5953,0.1116
20,377.5954,0.122
21,397.5954,0.1266
22,397.5954,0.1266
23,426.0284,0.1304
24,461.0284,0.145
25,466.0284,0.1476
26,471.0284,0.1477
27,471.0285,0.1477
28,481.0293,0.1478
29,511.6019,0.154
30,511.602,0.154
31,541.6038,0.1841
32,581.605,0.1886
33,611.605,0.1891
34,626.605,0.1894
35,631.0635,0.1894
36,636.0635,0.1904
37,676.0637,0.2198
38,686.0637,0.2272
39,706.0637,0.245
40,746.0646,0.2647
41,781.0646,0.2652
42,806.0647,0.2778
43,806.0647,0.2778
44,811.0647,0.2778
45,846.0647,0.2905
46,866.0647,0.2961
47,886.0647,0.3019
48,896.784,0.3093
49,901.7844,0.3155
50,930.264,0.3159
51,940.264,0.316
52,945.264,0.316
53,1000.2641,0.3285
54,1040.5176,0.3511
55,1044.8979,0.356
56,1044.8979,0.356
57,1044.8979,0.356
58,1064.8987,0.3704
59,1104.8998,0.3798
60,1104.8999,0.3798
61,1132.9826,0.3919
62,1172.9827,0.4001
63,1198.0964,0.4069
64,1208.0964,0.4145
65,1208.0964,0.4145
66,1213.0964,0.4217
67,1228.0965,0.4226
68,1238.0965,0.4227
69,1253.0965,0.4229
70,1278.0966,0.4302
71,1313.0966,0.4489
72,1338.0966,0.4574
73,1338.0966,0.4574
74,1338.0966,0.4574
75,1385.8082,0.4648
76,1415.8081,0.465
77,1426.4244,0.4651
78,1426.4245,0.4651
79,1436.4251,0.4731
80,1451.4251,0.4825
81,1481.4251,0.4934
82,1481.4251,0.4934
83,1521.4251,0.5014
84,1551.6447,0.5158
85,1551.6447,0.5158
86,1556.6447,0.5158
87,1556.6447,0.5158
88,1571.6448,0.5159
89,1596.6455,0.5161
