step,tx_cost,fulfill
1,0.0,0.0
2,232.67123,0.0
3,344.83987,0.0
4,543.5667,0.0
5,661.6039,0.0
6,884.87134,0.0
7,989.7301,0.0
8,1227.2079,0.0
9,1349.5685,0.0
10,1560.4689,0.0
11,1703.1631,0.0
12,1936.4573,0.0
13,2069.601,0.0
14,2302.3716,0.0
15,2447.1006,0.0
16,2658.569,0.0
17,2805.8196,0.0
18,3033.029,0.0
19,3171.2646,0.0
20,3403.7793,0.0
21,3578.0315,0.025
22,3800.2908,0.025
23,3985.6545,0.025
24,4223.733,0.025
25,4392.007,0.05
26,4619.621,0.075
27,4798.025,0.075
28,5019.769,0.075
29,5209.367,0.075
30,5433.5874,0.075
31,5625.8965,0.075
32,5818.79,0.075
33,6005.0425,0.075
34,6202.553,0.075
35,6405.0684,0.075
36,6597.2466,0.075
37,6810.5845,0.075
38,7012.3013,0.075
39,7221.3286,0.075
40,7427.702,0.075
41,7628.7476,0.075
42,7827.6807,0.075
43,8023.2715,0.075
44,8214.038,0.075
45,8400.861,0.075
46,8583.966,0.075
47,8776.79,0.075
48,8960.102,0.075
49,9148.524,0.075
50,9343.17,0.075
51,9525.304,0.075
52,9694.752,0.075
53,9898.669,0.075
54,10094.185,0.075
55,10290.256,0.075
56,10497.894,0.1
57,10708.147,0.1
58,10899.09,0.1
59,11094.411,0.1
60,11295.666,0.1
61,11485.909,0.1
62,11680.256,0.1
63,11879.337,0.1
64,12080.585,0.1
65,12277.009,0.1
66,12479.721,0.1
67,12678.997,0.1
68,12884.485,0.1
69,13067.922,0.1
70,13271.928,0.1
71,13446.858,0.1
72,13650.511,0.1
73,13827.59,0.1
74,14035.774,0.1
75,14210.499,0.1
76,14406.119,0.1
77,14573.596,0.1
78,14776.517,0.1
79,14957.777,0.1
80,15171.993,0.1
81,15352.007,0.1
82,15566.463,0.1
83,15735.672,0.1
84,15945.435,0.1
85,16126.896,0.1
86,16330.046,0.1
87,16519.334,0.1
88,16725.07,0.1
89,16888.248,0.1
90,17086.773,0.1
