step,tx_cost,fulfill
1,0.0,0.0
2,193.62349,0.0
3,250.04424,0.0
4,433.16977,0.0
5,473.22372,0.0
6,644.0097,0.0
7,700.8756,0.0
8,880.90735,0.0
9,968.92816,0.0
10,1158.2634,0.0
11,1237.1842,0.0
12,1413.2006,0.0
13,1504.2997,0.0
14,1689.1666,0.0
15,1776.9065,0.0
16,1959.1791,0.0
17,2050.151,0.0
18,2231.356,0.0
19,2319.948,0.0
20,2509.3545,0.0
21,2624.0398,0.0
22,2801.6077,0.0
23,2906.797,0.0
24,3081.0542,0.0
25,3201.0923,0.0
26,3374.4583,0.0
27,3496.6667,0.0
28,3670.4678,0.0
29,3790.147,0.0
30,3952.015,0.0
31,4074.4038,0.0
32,4234.7446,0.0
33,4350.37,0.0
34,4491.2188,0.0
35,4621.609,0.0
36,4787.6885,0.0
37,4941.917,0.0
38,5113.898,0.0
39,5282.2095,0.0
40,5459.81,0.0
41,5630.227,0.0
42,5799.326,0.0
43,5967.237,0.0
44,6129.2646,0.0
45,6291.5215,0.0
46,6444.325,0.0
47,6592.8833,0.0
48,6755.535,0.0
49,6887.5913,0.0
50,7040.312,0.0
51,7190.2183,0.0
52,7348.7603,0.0
53,7504.1987,0.0
54,7667.9155,0.0
55,7812.9316,0.0
56,7972.8936,0.0
57,8117.664,0.0
58,8276.574,0.0
59,8402.138,0.0
60,8575.365,0.0
61,8696.748,0.0
62,8862.152,0.0
63,8989.856,0.0
64,9164.155,0.0
65,9303.343,0.0
66,9485.655,0.0
67,9642.096,0.0
68,9832.938,0.0
69,9986.785,0.0
70,10169.352,0.0
71,10317.183,0.0
72,10499.048,0.0
73,10642.994,0.0
74,10816.282,0.0
75,10958.875,0.0
76,11122.056,0.0
77,11265.331,0.0
78,11430.762,0.0
79,11574.858,0.0
80,11736.047,0.0
81,11889.8545,0.0
82,12050.628,0.0
83,12194.828,0.0
84,12345.477,0.0
85,12496.404,0.0
86,12642.425,0.0
87,12792.473,0.0
88,12935.327,0.0
89,13084.269,0.0
90,13230.705,0.0
91,13385.581,0.0
92,13528.312,0.0
93,13673.774,0.0
94,13813.129,0.0
95,13989.632,0.0
96,14152.993,0.0
97,14328.161,0.0
98,14499.505,0.0
99,14675.82,0.0
100,14855.841,0.0
101,15023.273,0.0
102,15184.809,0.0
