Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,17916.695,0.018750000000000017,1.0,855.00183,13.615625
1,17915.664,0.020312500000000018,1.0,862.49133,13.131250000000001
2,17919.06,0.015625000000000014,1.0,843.5774,13.015625
3,17919.285,0.01590909090909092,1.0,841.4946,12.395454545454545
4,17920.145,0.012804878048780496,1.0,844.1452,12.362804878048781
5,17920.797,0.012000000000000009,1.0,840.2728,12.296500000000002
6,17921.252,0.011440677966101704,1.0,838.70746,12.276694915254238
7,17922.465,0.01066176470588236,1.0,827.8107,12.278676470588236
8,17923.111,0.010064935064935072,1.0,823.53766,12.17792207792208
9,17923.77,0.009883720930232565,1.0,817.94586,12.18110465116279
10,17923.932,0.010526315789473694,1.0,813.67145,12.163947368421058
11,17924.428,0.010750000000000006,1.0,807.0519,12.094250000000002
12,17925.758,0.009500000000000007,1.0,796.7583,11.929499999999997
13,17926.312,0.009750000000000007,1.0,790.1373,11.899499999999998
14,17927.312,0.009000000000000006,1.0,781.9867,11.942749999999998
15,17927.98,0.010500000000000008,1.0,768.4735,11.82525
16,17929.145,0.009500000000000007,1.0,760.5516,11.89
17,17929.398,0.010750000000000006,1.0,753.70416,11.849499999999999
18,17929.47,0.010750000000000006,1.0,753.90985,11.86675
19,17929.377,0.011000000000000005,1.0,752.0907,11.805250000000001
20,17929.193,0.011500000000000005,1.0,751.1678,11.704249999999996
21,17929.379,0.011000000000000005,1.0,750.5403,11.656749999999999
