Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-4850.0684,0.0625,9.998625,1470.6267,57.3375
1,-4783.401,0.0625,9.997250000000001,1453.3076,58.44583333333333
2,-4720.0674,0.06250000000000001,9.995875000000002,1430.9388,59.69749999999999
3,-4708.401,0.05833333333333335,9.994458333333334,1431.8304,58.64791666666667
4,-4675.0674,0.08281250000000001,9.993286458333333,1426.5018,59.515625
5,-4645.068,0.0825,9.992111458333333,1425.1973,60.63000000000001
6,-4620.902,0.08437500000000002,9.990955208333334,1425.0986,60.461458333333326
7,-4607.7607,0.08942307692307692,9.989849439102565,1423.401,60.872115384615384
8,-4596.735,0.08916666666666666,9.988741105769233,1422.1562,60.205
9,-4582.421,0.08823529411764706,9.98762345871041,1417.3428,60.0735294117647
10,-4576.3833,0.08289473684210526,9.986452406078831,1416.0266,59.94934210526316
11,-4561.0435,0.08414634146341464,9.985293869493464,1411.4309,60.400000000000006
12,-4552.3403,0.08693181818181818,9.984163187675282,1409.3696,60.63238636363637
13,-4537.568,0.08072916666666667,9.98297047934195,1404.5677,60.37395833333333
14,-4526.99,0.08173076923076925,9.981787787034257,1399.2637,60.193269230769225
15,-4528.639,0.08348214285714287,9.980622608462829,1400.282,60.473214285714285
16,-4518.4004,0.08458333333333336,9.979468441796163,1396.2874,60.610833333333325
17,-4508.0034,0.08452380952380954,9.978313679891402,1391.583,60.777380952380945
18,-4504.613,0.08522727272727272,9.977165952618675,1390.2268,60.82878787878788
19,-4501.4956,0.08571428571428572,9.976023095475817,1388.677,60.95892857142857
20,-4494.661,0.08412162162162162,9.974864311692034,1386.3007,60.78513513513514
21,-4489.81,0.08173076923076925,9.973681619384342,1384.7441,60.58846153846154
22,-4485.2515,0.08055555555555556,9.972487174939898,1383.2893,60.40925925925926
23,-4477.7134,0.07852941176470589,9.971272469057546,1380.6749,60.06411764705882
24,-4476.2026,0.07869318181818183,9.970059400875728,1380.2329,60.17414772727272
25,-4477.2397,0.07717391304347827,9.968831140006163,1381.3058,59.993749999999984
26,-4475.066,0.07760416666666667,9.967607181672829,1381.1924,60.114583333333336
27,-4474.813,0.07777777777777778,9.966384959450608,1381.6116,60.17424242424242
28,-4467.0654,0.07825000000000001,9.965167459450608,1379.8236,60.23224999999999
29,-4457.0654,0.08000000000000002,9.963967459450608,1378.3428,60.39775
30,-4449.065,0.081,9.962777459450608,1377.7482,60.43425000000001
31,-4445.065,0.07875000000000001,9.961564959450609,1377.7941,60.38525
32,-4438.065,0.07725,9.960337459450608,1376.1796,60.29375
33,-4437.0645,0.07925,9.959129959450609,1375.8363,60.536
34,-4436.0645,0.0785,9.957914959450608,1375.3267,60.541000000000004
35,-4436.064,0.07825,9.95669745945061,1375.53,60.53625000000001
36,-4436.064,0.07625000000000001,9.955459959450609,1375.8187,60.56349999999998
37,-4435.064,0.075,9.954209959450608,1377.024,60.390499999999996
38,-4428.064,0.078,9.952989959450608,1375.8704,60.41349999999999
39,-4431.064,0.079,9.951779959450608,1377.6177,60.40549999999999
40,-4433.064,0.07750000000000001,9.950554959450608,1380.0166,60.30550000000001
41,-4440.064,0.07825000000000001,9.949337459450609,1384.5658,60.476000000000006
42,-4437.063,0.07725,9.948109959450608,1386.7449,60.440999999999995
43,-4435.0635,0.07625000000000001,9.946872459450608,1388.299,60.292
44,-4440.064,0.07550000000000001,9.945627459450607,1394.0665,60.17099999999999
45,-4448.064,0.07300000000000001,9.944357459450607,1401.4105,59.847
46,-4445.064,0.07475000000000001,9.943104959450608,1403.26,59.80699999999999
47,-4449.064,0.07075000000000001,9.941812459450608,1408.6758,59.59524999999999
48,-4451.064,0.0725,9.940537459450608,1412.4207,59.760999999999996
49,-4452.0645,0.07400000000000002,9.939277459450608,1416.4172,59.802
50,-4451.0645,0.07600000000000001,9.938037459450609,1419.9893,59.875249999999994
51,-4451.0645,0.07725,9.936809959450608,1424.4504,60.089000000000006
52,-4444.065,0.07625,9.935572459450608,1424.7686,60.00375
53,-4438.065,0.07625000000000001,9.934334959450608,1425.8452,59.89275000000001
54,-4433.0654,0.07625000000000001,9.933097459450607,1427.4346,59.709750000000014
55,-4431.0654,0.07625000000000001,9.931859959450607,1429.0764,59.755
56,-4424.0664,0.07800000000000001,9.930639959450607,1429.9923,59.75625
57,-4418.0664,0.07825000000000001,9.929422459450608,1430.7997,59.75599999999999
