Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-3040.0781,0.125,9.99925,1029.5397,74.9375
1,-3320.0620439826466,0.31875,10.011125,1042.3306,76.91875
2,-3413.5495376938175,0.4000000000000001,10.031125,1056.3085,77.54166666666667
3,-3375.337191859102,0.35625,10.04675,1046.6909,77.0875
4,-3348.472298773994,0.34750000000000003,10.061499999999999,1038.6287,76.925
5,-3280.406603144995,0.3166666666666667,10.073166666666665,1030.0695,76.54583333333333
6,-3231.788144492585,0.2910714285714286,10.082273809523809,1022.3851,76.47678571428571
7,-3230.5301273205405,0.2875,10.091023809523808,1019.5742,76.41875
8,-3216.0350941850984,0.2722222222222222,10.09824603174603,1018.67786,76.4736111111111
9,-3186.4391897470573,0.25749999999999995,10.10399603174603,1013.2448,76.1575
10,-3169.4970861159327,0.2409090909090909,10.10808694083694,1010.13245,76.05113636363636
11,-3147.0452211922093,0.2333333333333333,10.111420274170273,1004.7544,75.83541666666667
12,-3140.355303711679,0.2298076923076923,10.114401043401042,1005.63074,75.79423076923078
13,-3134.277076172158,0.2275862068965517,10.117159664090696,1000.45825,75.66724137931034
14,-3164.631046758273,0.24838709677419352,10.121998373768115,1004.88776,75.89032258064516
15,-3191.3173078719715,0.2643939393939394,10.128437767707508,1007.3905,76.0848484848485
16,-3214.9685152550787,0.285,10.136937767707508,1009.751,76.17785714285715
17,-3221.8791027812313,0.28783783783783784,10.145721551491292,1011.0071,76.2418918918919
18,-3241.5726843097054,0.32243589743589746,10.157965141234882,1012.8861,76.4346153846154
19,-3267.619716814297,0.34226190476190477,10.172191331711073,1016.22925,76.57083333333333
20,-3283.0444561626414,0.3721590909090909,10.189407240801982,1018.436,76.72670454545454
21,-3297.1578099064704,0.39945652173913043,10.209352892975895,1019.9331,76.86902173913043
22,-3310.1282172969536,0.4244791666666667,10.23180080964256,1020.87286,76.99947916666667
23,-3322.0969635909905,0.4465,10.25645080964256,1022.20776,77.1195
24,-3333.1830098943906,0.45096153846153847,10.281546963488713,1023.8539,77.15625000000001
25,-3343.485008230422,0.47129629629629627,10.308676593118342,1024.9568,77.26157407407408
26,-3353.089931316347,0.4803571428571428,10.336712307404056,1026.3918,77.34285714285716
27,-3352.873370001563,0.4737068965517241,10.364082997059228,1027.1241,77.35000000000002
28,-3361.5988882227352,0.4854166666666666,10.392624663725895,1028.4541,77.43583333333336
29,-3369.7983253057305,0.4935483870967742,10.421979502435573,1029.7628,77.5060483870968
30,-3377.5220070692085,0.5078125,10.452760752435573,1031.263,77.583984375
31,-3384.814890960584,0.5136363636363637,10.48412438879921,1032.7617,77.64128787878788
32,-3372.9108361196013,0.5022058823529412,10.514344977034503,1032.1696,77.56286764705882
33,-3371.1238218388307,0.5035714285714286,10.544702119891646,1033.2637,77.55107142857143
34,-3378.0889304525404,0.5121527777777778,10.575917397669423,1035.275,77.60763888888889
35,-3376.291852030965,0.5054054054054055,10.606457938209964,1036.2819,77.58344594594595
36,-3375.1317515513524,0.49835526315789486,10.636293464525753,1037.5804,77.5516447368421
37,-3364.4893759106126,0.48846153846153856,10.665139618371906,1037.4354,77.5025641025641
38,-3371.0442638523978,0.4921875,10.694358368371907,1039.2214,77.5540625
39,-3372.0911275681437,0.48810975609756097,10.723169343981663,1040.9148,77.57865853658537
40,-3378.208135774773,0.4979166666666666,10.75296101064833,1042.6973,77.6327380952381
41,-3378.6018671172787,0.5,10.782961010648329,1044.4746,77.64651162790697
42,-3384.347245857302,0.4991477272727272,10.8128757833756,1046.1788,77.67897727272727
43,-3383.280365091485,0.49472222222222223,10.842348005597824,1047.5112,77.6825
44,-3384.0118186310237,0.49103260869565224,10.871451266467389,1049.2621,77.68967391304349
45,-3389.3506744451415,0.49840425531914895,10.901291691999305,1050.7695,77.73351063829789
46,-3394.4919368667906,0.5046875,10.931760441999305,1052.1857,77.77760416666668
47,-3399.4482232707223,0.5073979591836734,10.962500237917673,1053.5413,77.81607142857143
