Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-145.89757,0.19374999999999998,1.00009375,10261.352,36.59375
1,-152.187322920772,0.18928571428571428,1.0001830357142858,10749.354,36.81428571428571
2,-142.8163757306469,0.18,1.0002630357142859,10422.671,37.94
3,-152.21180955554098,0.18269230769230768,1.000345728021978,10847.986,39.582692307692305
4,-148.2593295128082,0.17352941176470588,1.0004192574337427,10831.869,39.92941176470589
5,-151.46607510131378,0.17250000000000001,1.0004917574337426,11028.349,39.181250000000006
6,-147.01830775711713,0.171875,1.0005636324337426,10762.036,39.103125
7,-149.90666912685654,0.17314814814814816,1.0006367805818908,10896.654,38.59722222222222
8,-151.19003013395843,0.17580645161290326,1.0007125870335036,10906.611,38.57177419354839
9,-148.33585258538872,0.175,1.0007875870335037,10758.467,38.41857142857143
10,-147.29034281862653,0.17435897435897438,1.0008619460078627,10724.845,38.065384615384616
11,-140.59579246908328,0.17102272727272727,1.0009329687351354,10401.226,37.54090909090908
12,-142.4064504747132,0.1723404255319149,1.0010053091606672,10468.991,37.653191489361696
13,-143.0609591716995,0.17401960784313725,1.0010793287685102,10465.511,37.2421568627451
14,-140.63048587407127,0.17363636363636367,1.0011529651321467,10336.46,37.07090909090909
15,-141.85487722634858,0.17372881355932207,1.001226693945706,10403.095,36.871610169491525
16,-140.31475515648663,0.173828125,1.0013005220707059,10304.652,36.66484375
17,-137.97769930662722,0.17279411764705885,1.001373316188353,10191.684,36.425000000000004
18,-136.4991927587682,0.17226027397260274,1.0014455764623256,10112.896,36.226027397260275
19,-136.67522198013225,0.17175324675324674,1.001517329709079,10136.64,36.092532467532465
20,-135.71683791081068,0.17253086419753086,1.0015898605732765,10057.664,35.93117283950617
21,-134.20369254981574,0.17352941176470585,1.0016633899850411,9940.767,35.9264705882353
22,-133.26859653944453,0.17219101123595507,1.0017355809962771,9919.483,35.850280898876406
23,-133.40646294515292,0.17338709677419356,1.0018089680930513,9896.578,35.67715053763441
24,-133.4958177862098,0.174234693877551,1.0018832027869289,9876.41,35.59311224489796
25,-131.24359184078597,0.17299999999999996,1.0019562027869289,9772.948,35.3005
26,-130.25103069508413,0.17274999999999996,1.0020289527869288,9710.933,35.018249999999995
27,-129.3217248337737,0.17275,1.0021017027869288,9654.791,34.47925000000001
28,-127.67830977129674,0.17475,1.0021764527869288,9507.018,34.088249999999995
29,-126.40194915031432,0.17524999999999996,1.0022517027869289,9425.3,34.052
30,-123.314481719926,0.17525,1.002326952786929,9243.836,33.7735
31,-121.2543380801531,0.17575000000000002,1.002402702786929,9107.821,33.44175
32,-121.24570137025296,0.17549999999999996,1.0024782027869288,9114.224,33.1885
33,-120.46599526848355,0.17574999999999996,1.0025539527869287,9056.954,33.102500000000006
34,-119.6688566775059,0.1765,1.0026304527869287,8990.722,33.00275
35,-117.52584405188982,0.17575,1.0027062027869287,8882.598,32.85425
36,-116.23034530922794,0.17525,1.0027814527869288,8815.634,32.843999999999994
37,-114.75256319286855,0.17575000000000002,1.0028572027869287,8709.301,32.77250000000001
38,-114.57869214107541,0.17549999999999996,1.0029327027869286,8701.606,32.83875
39,-115.15353155121532,0.17725,1.0030099527869285,8690.785,32.81675
40,-115.69973601140626,0.177,1.0030869527869286,8729.325,32.7295
41,-113.93538409834181,0.17800000000000002,1.0031649527869286,8602.199,32.7205
42,-112.75871320218707,0.17625,1.0032412027869286,8573.488,32.485499999999995
43,-112.70807356706116,0.1765,1.0033177027869287,8567.221,32.462999999999994
