step,tx_cost,fulfill
1,46.758022,0.0
2,92.91953,0.0
3,124.31237,0.0
4,155.14755,0.0
5,183.61937,0.0
6,210.97308,0.0
7,264.65622,0.05625
8,316.41013,0.09375
9,340.5135,0.09375
10,363.68094,0.10625
11,386.84848,0.11875
12,409.7913,0.11875
13,454.5855,0.1375
14,498.59058,0.16875
15,518.6024,0.16875
16,537.76,0.16875
17,556.9819,0.16875
18,576.51636,0.16875
19,613.8394,0.1875
20,652.29694,0.1875
21,672.6901,0.1875
22,692.65607,0.1875
23,712.0202,0.19375
24,732.0847,0.2125
25,766.2463,0.2125
26,799.31335,0.225
27,818.19965,0.2375
28,834.8174,0.25
29,849.92694,0.26875
30,865.17584,0.26875
31,894.98566,0.275
32,929.1185,0.275
33,947.41425,0.29375
34,965.57385,0.29375
35,982.5967,0.3
36,999.50525,0.30625
37,1031.3016,0.30625
38,1066.0513,0.3125
39,1087.6255,0.3125
40,1111.1453,0.31875
41,1135.8,0.325
42,1161.084,0.33125
43,1200.0269,0.34375
44,1241.3473,0.36875
45,1268.0942,0.4
46,1295.4679,0.4375
47,1323.0303,0.475
48,1348.3815,0.5
49,1387.1392,0.5125
50,1426.9677,0.5375
51,1449.5977,0.5375
52,1470.1843,0.54375
53,1486.3331,0.54375
54,1501.4004,0.54375
55,1529.5181,0.54375
56,1559.9551,0.54375
57,1574.6537,0.55
58,1590.1326,0.5625
59,1606.3309,0.56875
60,1622.9238,0.56875
61,1653.1486,0.575
62,1682.5507,0.575
63,1694.2472,0.575
64,1706.3479,0.575
65,1719.1316,0.575
66,1732.7753,0.575
67,1766.4347,0.575
68,1802.0242,0.575
69,1816.8021,0.575
70,1832.5784,0.575
71,1849.0924,0.575
72,1863.9956,0.59375
73,1900.5627,0.59375
74,1940.2235,0.6
75,1959.1902,0.6125
76,1978.7245,0.6125
77,1999.3512,0.6125
78,2020.5709,0.625
79,2052.8933,0.625
80,2086.2178,0.63125
81,2103.2173,0.63125
82,2120.0159,0.63125
83,2137.8093,0.63125
84,2156.6406,0.6375
85,2187.6492,0.6375
86,2221.5347,0.65
87,2238.7573,0.675
88,2255.668,0.7125
89,2271.2344,0.71875
90,2287.3855,0.725
91,2317.353,0.725
92,2349.4553,0.7375
93,2371.0652,0.7375
94,2393.5635,0.7375
95,2416.4023,0.7375
96,2439.4526,0.74375
97,2474.0427,0.75
98,2509.3816,0.775
99,2529.2249,0.78125
100,2549.3157,0.80625
101,2567.6968,0.8125
