step,tx_cost,fulfill
1,188.86717,0.0
2,372.64737,0.0
3,534.3882,0.0
4,707.64996,0.0
5,874.3223,0.0
6,1038.9619,0.0
7,1198.8269,0.0
8,1353.2986,0.0
9,1497.7074,0.0
10,1653.0306,0.0
11,1818.3132,0.0
12,1983.9174,0.0
13,2148.8813,0.0
14,2311.2888,0.09375
15,2454.1592,0.1
16,2598.6438,0.1
17,2746.8643,0.11875
18,2883.8916,0.26875
19,3001.9963,0.3
20,3115.3948,0.3
21,3223.3948,0.3
22,3324.3948,0.3
23,3427.4932,0.3
24,3535.886,0.3
25,3655.113,0.3
26,3772.108,0.3
27,3886.7727,0.325
28,3997.3218,0.38125
29,4102.749,0.3875
30,4202.1323,0.3875
31,4299.429,0.3875
32,4391.4717,0.3875
33,4475.5938,0.39375
34,4554.741,0.39375
35,4637.905,0.39375
36,4721.279,0.4
37,4799.4297,0.4
38,4873.2837,0.4
39,4948.4316,0.4
40,5019.5645,0.4
41,5091.701,0.4
42,5169.0703,0.4
43,5253.8394,0.4
44,5340.2983,0.4
45,5420.3403,0.4
46,5502.3403,0.4
47,5586.3403,0.4
48,5664.3403,0.4125
49,5742.4,0.41875
50,5828.525,0.45
51,5913.697,0.46875
52,6004.9507,0.48125
53,6096.276,0.48125
54,6185.67,0.4875
55,6266.1816,0.525
56,6336.5854,0.54375
57,6400.8784,0.5625
58,6458.105,0.5625
59,6520.2573,0.575
60,6584.3584,0.575
61,6646.3857,0.59375
62,6703.3857,0.6
63,6761.3857,0.6
64,6821.3857,0.6
65,6877.3857,0.6
66,6929.3857,0.6
67,6979.8906,0.6125
68,7032.9917,0.61875
69,7080.9917,0.61875
70,7129.9917,0.69375
71,7183.9917,0.70625
72,7238.9917,0.70625
73,7293.289,0.74375
74,7347.2896,0.75
75,7403.2896,0.75
76,7462.291,0.7625
77,7521.344,0.76875
78,7582.4473,0.8375
79,7643.601,0.8375
