step,tx_cost,fulfill
1,0.0,0.0
2,399.77515,0.0
3,731.8727,0.0
4,927.1675,0.0
5,1249.369,0.0
6,1614.8958,0.0
7,1968.7238,0.0
8,2349.2458,0.0
9,2658.8157,0.0
10,2812.125,0.0
11,3155.9116,0.0
12,3491.323,0.0
13,3863.0732,0.0
14,4232.636,0.0
15,4554.5293,0.0
16,4713.293,0.0
17,5075.262,0.0
18,5402.112,0.0
19,5774.1045,0.0
20,6128.712,0.0033333333333333335
21,6467.0103,0.0033333333333333335
22,6701.28,0.006666666666666667
23,7073.4805,0.01
24,7383.51,0.01
25,7722.344,0.016666666666666666
26,8088.9717,0.02
27,8415.419,0.023333333333333334
28,8678.591,0.02666666666666667
29,9018.846,0.03
30,9326.128,0.03
31,9691.66,0.03
32,10055.803,0.03333333333333333
33,10382.481,0.03333333333333333
34,10656.208,0.03666666666666667
35,11000.581,0.04
36,11311.221,0.04
37,11673.397,0.043333333333333335
38,12020.547,0.043333333333333335
39,12370.337,0.043333333333333335
40,12671.162,0.043333333333333335
41,13013.957,0.043333333333333335
42,13346.527,0.04666666666666667
43,13687.455,0.04666666666666667
44,14037.346,0.04666666666666667
45,14370.906,0.04666666666666667
46,14704.463,0.05
47,15056.743,0.05
48,15386.905,0.05
49,15726.828,0.05333333333333334
50,16071.295,0.05333333333333334
51,16381.58,0.05333333333333334
52,16709.094,0.05333333333333334
53,17048.191,0.05333333333333334
54,17390.27,0.05333333333333334
55,17713.842,0.05333333333333334
56,18062.955,0.05333333333333334
57,18374.086,0.05333333333333334
58,18718.797,0.056666666666666664
59,19078.129,0.06
60,19419.938,0.06
61,19755.24,0.06
62,20086.953,0.06333333333333334
63,20403.857,0.06333333333333334
64,20742.762,0.06333333333333334
65,21110.562,0.06333333333333334
66,21468.139,0.06666666666666667
67,21789.293,0.07
68,22143.363,0.07333333333333333
69,22457.701,0.07333333333333333
70,22781.69,0.07333333333333333
71,23111.105,0.07666666666666666
72,23447.988,0.07666666666666666
73,23760.867,0.07666666666666666
74,24109.643,0.07666666666666666
75,24437.678,0.07666666666666666
76,24761.242,0.07666666666666666
77,25094.068,0.08
78,25421.178,0.08666666666666667
79,25737.537,0.08666666666666667
80,26093.867,0.08666666666666667
81,26452.156,0.09
82,26765.21,0.09333333333333334
83,27111.492,0.09333333333333334
84,27441.305,0.09333333333333334
85,27742.818,0.09666666666666666
86,28092.791,0.09666666666666666
87,28428.717,0.1
88,28762.07,0.1
89,29125.137,0.1
90,29456.629,0.10333333333333333
