Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-411.7179,0.875,1.0000675,899.7796,48.325
1,-398.783011447898,0.8187500000000001,1.0001293750000002,894.776,46.40625
2,-391.5984281470155,0.7875000000000001,1.0001881250000002,891.00616,45.98333333333333
3,-388.7266729054254,0.7749999999999999,1.0002456250000002,887.723,45.403125
4,-384.7037223371138,0.7575,1.0003013750000003,883.41144,45.2725
5,-379.14738559766676,0.7333333333333333,1.0003547083333335,880.7602,44.41458333333333
6,-371.48391615546103,0.7,1.0004047083333336,882.7708,43.53928571428572
7,-363.2215503046788,0.6640625,1.0004511145833337,886.5936,42.556250000000006
8,-352.9629636239559,0.6194444444444445,1.000493059027778,894.0243,41.272222222222226
9,-343.1624814299912,0.5787500000000001,1.0005309340277782,893.55725,40.04375
10,-331.0745600176364,0.5443181818181818,1.00056536584596,879.0147,38.65113636363637
11,-324.62155514945573,0.5145833333333333,1.0005968241792933,884.7348,37.661458333333336
12,-316.5500036188803,0.4913461538461537,1.000625958794678,875.431,36.59326923076923
13,-304.57348571921426,0.4586206896551724,1.0006518208636435,860.4128,35.2301724137931
14,-298.5852349314887,0.4411290322580645,1.0006759337668694,856.0944,34.50322580645161
15,-293.8574651652633,0.4257575757575758,1.0006985095244452,854.558,33.84090909090909
16,-282.71635394623587,0.4,1.000718509524445,837.1559,32.59121621621622
17,-279.2692694529859,0.38846153846153847,1.0007373556782913,836.5306,32.1275641025641
18,-268.524790516456,0.3668604651162791,1.0007540417248029,815.2667,31.03255813953488
19,-263.2653333790212,0.3572222222222223,1.000769763947025,802.4533,30.56222222222222
20,-255.31473819071653,0.34234693877551026,1.0007839986409026,784.6654,29.736224489795916
21,-247.4823201233503,0.3297169811320755,1.0007969703390158,764.05994,28.999999999999996
22,-243.16884502676268,0.32142857142857145,1.0008091131961587,753.6984,28.517857142857142
23,-237.37661524626463,0.3120833333333333,1.000820321529492,738.94,27.89666666666667
24,-233.48568545085791,0.30595238095238086,1.0008309167675873,729.28937,27.481746031746034
