Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,-12062.702,0.16944444444444443,1.0000694444444445,9197.633,75.55
1,-11298.66686174326,0.175,1.0001444444444445,8526.588,74.46704545454544
2,-10430.001468527937,0.16756756756756755,1.0002120120120122,7325.076,72.94324324324323
3,-9775.059930477366,0.1674528301886792,1.0002794648422009,6565.557,72.44622641509434
4,-9719.210914253405,0.17076923076923076,1.0003502340729702,6368.355,72.47192307692306
5,-10306.236856958487,0.17297297297297293,1.0004232070459431,6438.631,73.24391891891894
6,-10237.501838158632,0.16918604651162789,1.0004923930924547,6240.3096,72.39563953488371
7,-10097.757439085715,0.16994949494949493,1.0005623425874042,6093.9316,72.4588383838384
8,-9957.825248629119,0.17074999999999999,1.000633092587404,5551.678,72.46825000000001
9,-9762.025772080306,0.16924999999999993,1.000702342587404,5263.5645,71.58725
10,-9829.739929477753,0.17099999999999999,1.000773342587404,5115.985,71.92375
