step,tx_cost,fulfill
1,310.0,0.0
2,622.0,0.0
3,934.0,0.0
4,1253.0,0.01125
5,1573.0,0.035
6,1906.0,0.05375
7,2231.0,0.105
8,2552.0,0.14625
9,2862.0,0.1525
10,3189.0,0.15875
11,3523.0,0.16125
12,3860.0,0.17
13,4194.0,0.20625
14,4536.0,0.265
15,4887.0,0.29125
16,5235.0,0.30375
17,5584.0,0.31125
18,5934.0,0.32625
19,6283.0,0.36625
20,6628.0,0.41
21,6958.0,0.43
22,7300.0,0.4525
23,7648.0,0.49
24,8001.0,0.52875
25,8381.0,0.57875
26,8755.0,0.65875
27,9130.0,0.70625
28,9514.0,0.74875
29,9899.0,0.79625
30,10281.0,0.83375
31,10663.0,0.905
