step,tx_cost,fulfill
1,0.0,0.0
2,1529.2856,0.04083333333333333
3,1693.5516,0.04583333333333333
4,2824.454,0.11333333333333333
5,3188.3433,0.12833333333333333
6,4378.511,0.1675
7,4707.476,0.175
8,5968.179,0.215
9,6322.292,0.22083333333333333
10,7540.0605,0.2525
11,7888.295,0.2825
12,9109.96,0.3491666666666667
13,9474.505,0.3825
14,10741.998,0.6283333333333333
15,11256.088,0.655
16,12304.256,0.735
17,12798.755,0.7791666666666667
18,13947.802,0.8483333333333334
19,14518.26,0.89
