step,tx_cost,fulfill
1,0.0,0.0
2,202.9309,0.0
3,324.75034,0.0
4,508.77957,0.0
5,651.17084,0.0
6,847.9086,0.0
7,994.8771,0.0
8,1182.8442,0.0225
9,1334.026,0.0425
10,1529.3375,0.0625
11,1691.8556,0.095
12,1896.5803,0.105
13,2072.757,0.1275
14,2270.4304,0.145
15,2449.8535,0.1525
16,2656.2131,0.1725
17,2849.3186,0.1825
18,3049.103,0.2
19,3241.4263,0.2175
20,3447.8977,0.245
21,3628.4683,0.255
22,3846.343,0.275
23,4048.5952,0.28
24,4263.435,0.2875
25,4480.1323,0.31
26,4704.27,0.3125
27,4905.3193,0.33
28,5128.179,0.335
29,5341.9126,0.3375
30,5558.4272,0.345
31,5770.0664,0.3575
32,5994.283,0.365
33,6220.999,0.365
34,6450.1587,0.365
35,6677.4863,0.3675
36,6902.091,0.3675
37,7114.9395,0.3725
38,7349.097,0.375
39,7579.2603,0.3775
40,7815.4546,0.38
41,8040.3657,0.38
42,8276.942,0.38
43,8505.559,0.38
44,8729.587,0.3825
45,8953.68,0.3825
46,9186.47,0.385
47,9417.191,0.385
48,9626.931,0.39
49,9848.291,0.3925
50,10066.331,0.395
51,10285.388,0.4
52,10507.264,0.4
53,10729.955,0.4025
54,10948.568,0.4075
55,11170.722,0.4075
56,11385.764,0.41
57,11606.4,0.4125
58,11810.186,0.4125
59,12020.881,0.4125
60,12238.869,0.415
61,12465.712,0.4175
62,12689.242,0.4275
63,12905.437,0.43
64,13130.809,0.44
65,13347.63,0.445
66,13562.29,0.4475
67,13770.647,0.45
68,13975.815,0.4575
69,14193.235,0.4625
70,14412.385,0.4625
71,14633.691,0.4625
72,14867.387,0.465
73,15095.549,0.465
74,15316.069,0.465
75,15536.224,0.465
76,15761.847,0.465
77,15973.499,0.465
78,16199.4,0.465
79,16417.113,0.4675
80,16638.72,0.4675
81,16850.95,0.4675
82,17068.656,0.4675
83,17270.8,0.4675
84,17491.281,0.4675
85,17697.26,0.47
86,17906.232,0.47
87,18124.39,0.47
88,18334.988,0.47
89,18542.457,0.47
90,18759.482,0.47
